Date,time,query,response
12/12/2021,14:52,please tell me the current time,time
12/12/2021,14:52,please tell me the current time,time
12/12/2021,14:52,tell me the current kuchh nahin kya,time
12/12/2021,14:52,tell me the current kuchh nahin kya,time
12/12/2021,14:52,tell me the news,news
12/12/2021,14:58,nothing when karega saying nothing,google
12/12/2021,14:58,nothing when karega saying nothing,"oh!, sorry to hear that. How can I help"
12/12/2021,14:58,nothing when karega saying nothing,"oh!, sorry to hear that. How can I help"
12/12/2021,15:28,tell me some fact,google
12/12/2021,15:28,tell me some fact,"oh!, sorry to hear that. How can I help"
12/12/2021,15:28,tell me some fact,"oh!, sorry to hear that. How can I help"
12/12/2021,15:28,set alarm,alarm
12/12/2021,15:30,de,day
12/12/2021,15:30,de,day
12/12/2021,15:30,lekin maaf my city,google
12/12/2021,15:30,lekin maaf my city,Something went wrong?
12/12/2021,15:30,lekin maaf my city,Something went wrong?
12/12/2021,15:34,tell me some news,news
12/12/2021,15:34,tell me some news,news
12/12/2021,15:41,alexa amazon,google
12/12/2021,15:41,alexa amazon,How can I amaze you?
12/12/2021,15:41,alexa amazon,How can I amaze you?
12/12/2021,15:41,telugu news,news
12/12/2021,15:41,telugu news,news
12/12/2021,16:20,play music,playmusic
12/12/2021,16:20,play music,playmusic
12/12/2021,17:06,how are you,google
12/12/2021,17:06,how are you,"Let me refresh your mood then, what can I do?"
12/12/2021,17:06,how are you,"Let me refresh your mood then, what can I do?"
12/12/2021,17:11,how are you,"Oops!, can I help?"
12/12/2021,17:11,how are you,"Oops!, can I help?"
12/12/2021,17:23,how are you,"absolutely good, what about you? "
12/12/2021,17:23,nice,My pleasure sir
12/12/2021,17:23,what can you do for me,"Fine sir, what about you ? "
12/12/2021,17:55,stock market trends,google
12/12/2021,17:55,stock market trends,"Oops!, can I help?"
12/12/2021,17:55,stock market trends,"Oops!, can I help?"
12/12/2021,18:18,2 + 2,google
12/12/2021,18:18,2 + 2,"Let me refresh your mood then, what can I do?"
12/12/2021,18:21,2 + 2,"Oops!, can I help?"
